ID trait1 trait2 covariate1 covariate2  
A101 0 -0.303765625400885 -1.59275243430314 -0.623236876579901
A102 1 4.29436751424703 -0.0486487198747604 0.386380186952959
A103 0 2.54239131423034 1.92247627663847 0.336233357709755
A104 0 0.213764036542653 -0.212245098418532 -0.630043606502992
A105 1 3.54571599450611 -1.15847997047591 0.892442494262855
A106 0 1.39232563448784 0.626874809052366 -0.31840413271799
A107 0 1.15737790921769 -0.92106194874421 1.30608525149447
A108 0 0.495372034057701 -0.150731616259638 -0.0153648649966063
A109 0 2.41187057439962 -0.414118477903147 0.391993723762605
A110 0 1.01077323246125 0.445834892299865 0.757544882623239
A111 1 2.43807339162378 0.719607604952322 0.426600795682047
A112 0 -0.707351896275715 -1.20044384643057 1.3718065695309
A113 1 5.1728953408604 1.54128908801209 0.666543920888795
A114 1 4.13220946821977 -0.517498133538729 1.85679522789146
A115 0 -1.55022607885739 -2.65381883807808 -1.15294051128976
A116 0 -1.45066820935589 -0.401752862201552 -0.476365910800786
A117 1 3.15648838370695 0.00699204732990323 -0.788316499511231
A118 1 5.92077616360744 2.26872741760019 -0.631477270662299
A119 0 0.523294261162466 -0.963236751948496 0.684907388024504
A120 1 5.56989743437425 0.107988755185461 2.02863488516654
A121 0 -0.0450506793807992 -0.433544913868031 0.305213267909177
A122 0 0.566536124560747 0.224508885011233 0.0761236815156878
A123 0 -2.42589774843817 -1.90982154429403 -0.498517487168188
A124 1 3.02331438350368 0.389413947592621 -0.526211405727336
A125 1 5.11980686159626 -0.7167887772178 1.00708071514197
A126 0 -1.6356511734419 -0.991408895625876 -0.276969465133963
A127 1 3.62261862232526 2.32482464906384 -1.19440379267255
A128 1 5.1986228853498 1.90523682532774 -0.217843277622282
A129 0 3.88440029581558 0.76402475477296 2.12988636603119
A130 0 1.6593526462587 0.888977044897775 0.403387804836455
A131 1 5.3851069139808 1.13805121613782 0.304190023191324
A132 0 0.0604510584033968 0.0886282612280006 0.158546086787051
A133 0 1.48199919368506 -0.997625430338016 0.434277839803044
A134 1 5.68756003928762 1.77283223591985 0.709993147981407
A135 0 -0.651333259492956 -1.51164870101876 0.9189717319612
A136 1 2.15844110596425 -1.00689018793167 1.52912404943519
A137 1 4.81204673290869 1.54372815802293 -0.240660843195098
A138 1 2.92515352065017 0.944314684371882 -1.95820780220307
A139 0 -2.42364156413674 -1.72357683805616 -1.14624886089163
A140 0 0.69558352749491 0.530728337653493 1.95682098130107
A141 0 0.137188935080034 -0.912333834931938 0.830060289721274
A142 0 1.20224352020991 0.31287926771904 -0.157451124657271
A143 0 0.684737963145485 -0.83143836249279 0.593685651922311
A144 1 6.63372669530944 1.38003967073882 2.7851679367926
A145 0 1.03921586577047 0.0355508427495919 0.0498227201013792
A146 0 3.1035166198787 1.36325039174251 0.751837007935927
A147 0 1.11238712856651 -0.241038410436907 -0.306795255799239
A148 0 1.97080581439878 -0.847027056202942 1.57655520539287
A149 0 2.60581305714576 0.911310697983878 -1.26994390485677
A150 0 -1.26122736997526 -0.468214726502044 0.371467283001796
A151 0 0.359837698383815 1.00665300439721 -2.0551840538832
A152 0 0.392016447648068 -0.802703910152497 -1.65510054965873
A153 1 6.85610691950737 2.18571183349197 1.46208623731869
A154 0 2.79062108752798 0.876026121750595 1.13192165704938
A155 1 5.63924272530825 1.34707560999789 -0.993746362903139
A156 1 3.31746005254259 0.754970029906457 0.318157682465969
A157 1 3.17505884944986 1.23159018188479 -0.187914455563385
A158 0 -0.135075930872927 -2.02971955323473 -0.596980099527516
A159 0 -3.12649407869705 -1.57143000981869 0.633388407034944
A160 0 1.98782549914666 -0.531538026974643 1.27588825692838
A161 1 3.25018995824307 -0.635057174450503 0.108153691615663
A162 0 1.81297742927434 -0.286700244898007 0.647341342526151
A163 0 -1.77768613068555 -1.15025149922894 0.00545260259103825
A164 0 1.65228447865776 1.03358333785151 0.934291687297128
A165 1 2.0610506846373 -1.56306985890244 0.288871510512097
A166 1 6.51065413876773 3.33594875051187 0.938607588153605
A167 1 3.99306252011855 2.27203426393941 0.715441655904938
A168 0 -0.220678926483076 -0.7396440359588 -1.67746478746103
A169 1 4.38106689829022 0.321044374686484 1.30553850803696
A170 1 6.8155465472105 1.39256395163502 0.670072585947937
A171 0 1.06713658535469 0.270011573487464 -0.100771863255192
A172 1 1.13777772494893 -1.40844832193161 -0.42241242524919
A173 0 1.91596912895581 -0.126157513898374 0.745577928394016
A174 0 -3.03150890743217 -2.68380863848657 -0.67153592816817
A175 0 3.20550724918606 1.65682158536076 -0.516597480755833
A176 0 -0.948248016540088 -1.95124251617479 0.0925776764386002
A177 1 4.90638594673412 -0.430318969393945 0.581040305134241
A178 1 4.90041243079797 0.934280177981478 0.813015908324793
A179 1 3.55438313494354 -0.0980798677179895 1.03016260719777
A180 0 3.50946136618257 0.283045213023456 1.31755079350774
A181 0 -0.829017279150078 -0.708777712095678 -0.260432216831376
A182 1 5.60166798486512 0.500816134310292 0.585935040730376
A183 1 5.30823333221085 0.680773794675775 1.0159619465314
A184 1 4.84197389775863 2.06953127533426 0.80133232354234
A185 0 3.215059116787 1.26434490733995 -0.209985585352377
A186 0 -0.314267167819054 -1.275736886984 0.168247111382876
A187 1 3.80820864595699 1.30727117946826 0.716525058435776
A188 0 0.0517961610087811 0.8628511197901 -0.755133168270679
A189 0 1.52011739884542 0.505909417032534 0.0977329941469717
A190 0 0.159247825720878 -0.374550857271928 -2.01010886015589
A191 0 2.30150136243817 1.09767616263515 -1.40422573651703
A192 0 1.09735126991081 -0.610486490076944 0.498946408991073
A193 0 0.542461068848136 0.709123055483991 -1.38925651870587
A194 1 2.34950475856303 -0.796163734647277 1.4478652995119
A195 1 3.18296974418743 -0.579467432255416 1.16049291678204
A196 1 3.83414421803054 0.188087587487291 -1.7138592411508
A197 1 3.82948267662377 1.16259225336922 -1.36773093415678
A198 1 5.5278007870911 0.853829191837855 2.19135448150025
A199 0 1.0062942301983 0.528977904899637 -0.165532443672147
A200 1 4.41447753198896 0.242249336297012 1.29326190108112
A201 0 0.914280836285316 0.384097556974349 -0.240292810150533
A202 1 2.67151412290279 -0.269301886093332 0.489224765409982
A203 0 1.9673109712684 1.48692883570445 0.107256825799653
A204 1 3.33562781388095 0.518993968843602 0.101896189656849
A205 1 5.23379058101564 1.53331349075858 -1.78647988721222
A206 0 -1.78056963933552 -1.3404999990224 -0.196327321784267
A207 0 2.89393294160351 1.00243976861915 -0.997277419576831
A208 1 3.89755975092062 -0.448566028826489 2.19243422392277
A209 0 2.55263654376427 0.264044844835924 0.277440812362144
A210 0 -1.09188970491993 -1.31401243132836 -0.277705803320278
A211 0 0.774146115991813 -0.360540657864878 -0.513991485774672
A212 1 6.57925335458146 1.9361627727385 -0.177977320576386
A213 0 3.60000633049103 1.08623244263936 0.391378710693251
A214 1 4.10020905070764 -0.0919097397714816 -0.0799925162196778
A215 0 -0.487267629652237 -1.32181494104251 -0.679828571500734
A216 0 3.59218252996122 0.763258039220313 1.35680138206285
A217 0 3.20173329753988 1.43626464140609 0.0250236385918127
A218 1 5.19995553527614 0.85168542021164 1.54881619675023
A219 0 3.98366181527457 3.01813681591749 -2.02633643428624
A220 0 2.03235045931137 -0.125365342966319 0.477375562721249
A221 0 1.20677333777875 -0.771420953715949 -0.768977334626
A222 0 1.54669820173457 0.44925207086495 -0.02727621083532
A223 0 1.33501848943029 -0.322071135556475 -0.456542887083061
A224 0 1.85833849501892 1.47179683373812 0.465367648382591
A225 1 2.77254268979226 1.25815637665638 0.214171281777702
A226 0 -2.05384802416429 -2.37055787623514 0.494200240908608
A227 0 3.72415493409952 1.22759106683373 1.81421618380974
A228 0 1.4360279955091 -0.187778513306361 0.163319964818676
A229 1 4.32032245173767 1.71568516834931 0.276022629171724
A230 0 0.974747064870422 -0.246678817087636 -0.901415937511123
A231 0 2.74783065613888 0.243772579155535 0.651311396038141
A232 0 0.95610557086397 -0.0516265933043118 -0.433302362231556
A233 1 2.73066805419619 -0.303623044149395 -0.0633258740349624
A234 0 1.75022422406492 0.211993280676912 0.255634743038735
A235 1 5.7384865526302 0.738046028086403 0.95987718622063
A236 0 -0.203819584339895 0.459817879913673 0.0193003602783112
A237 0 3.66443944132561 1.82699213583309 0.330798555517479
A238 0 3.84667827984457 1.3988345782301 -0.763421497679905
A239 0 -0.46465512660695 -0.166897708279675 -1.93766564423834
A240 0 1.91974149380479 1.10117292769501 -2.55809192760561
A241 1 3.72180345581269 1.07161438930012 0.623148794390492
A242 0 0.72527116598378 0.504403849890076 -0.0567559708448899
A243 0 -1.37958814185729 -0.423709174127588 -0.423557762580639
A244 0 -2.11318549438504 -0.562313218352962 -0.381728103930673
A245 0 0.510476964201641 -0.368752600377712 0.206524011893706
A246 0 1.25067054007121 0.083152637115659 -0.291411351935428
A247 0 1.59980269829423 0.901505025377025 -0.865918307425646
A248 0 2.89779673796437 0.889057974261486 0.214712266420155
A249 0 2.192886867671 0.357916819989217 0.277155045719682
A250 0 1.56858799878016 -0.123422074130252 0.365994684868993
A251 1 3.31742405890115 1.46906447795647 0.376266520049185
A252 0 -1.44404994073448 -1.54472785982934 0.656446701287094
A253 1 6.88092969150545 1.47473063891793 3.30036965507192
A254 0 -0.0680707310846359 -1.89811313940449 0.961276594327643
A255 0 3.56249232018438 0.749104950606434 -0.720429323549748
A256 0 1.01560620429824 1.04012519784795 -1.29335892557165
A257 1 5.8998078531975 0.46039369515286 2.30918684811521
A258 0 -1.41039119404427 -1.04546770326769 -0.0680621234234426
A259 1 5.23822140480363 0.122067456867625 0.394573237340584
A260 0 1.21737982595125 0.171184435889073 -0.290449773056527
A261 1 3.19362753287278 0.0381024212133667 1.47214751727568
A262 1 2.20759204224983 -0.398302444218313 -0.447837226534621
A263 0 0.0546569059283515 -0.551860741398783 -1.47279689853037
A264 1 4.36334045688391 -0.410465987010581 -0.865537583535612
A265 0 4.81127002020745 2.85452670750801 0.459547864643287
