ID trait1 trait2 trait3
1 0 0 1
2 1 1 0
3 0 0 0
4 1 0 1
5 1 1 1
6 1 0 1
7 1 0 1
8 1 0 0
9 0 1 1
10 0 1 1
11 0 0 0
12 0 0 0
13 0 1 1
14 0 1 1
15 0 1 0
16 0 0 0
17 0 1 1
18 1 0 1
19 1 1 0
20 0 1 1
21 0 0 0
22 0 1 0
23 0 1 0
24 1 0 0
25 1 1 1
26 1 1 1
27 1 0 0
28 0 1 1
29 1 1 1
30 1 0 1
31 1 1 1
32 1 1 1
33 1 1 0
34 1 0 0
35 1 0 1
36 1 0 0
37 0 0 0
38 0 1 1
39 0 1 0
40 1 1 0
41 0 0 1
42 1 1 1
43 0 1 0
44 1 1 0
45 1 0 1
46 0 1 1
47 1 0 1
48 1 1 0
49 0 1 0
50 1 0 1
51 1 1 1
52 1 0 0
53 0 1 1
54 1 1 0
55 1 1 0
56 1 0 0
57 1 0 1
58 1 1 0
59 1 0 0
60 0 0 0
61 1 1 1
62 0 1 1
63 0 0 0
64 1 0 1
65 0 1 0
66 0 1 1
67 0 0 1
68 1 0 1
69 0 1 1
70 1 0 0
71 0 0 1
72 0 1 1
73 1 1 0
74 1 1 0
75 0 1 0
76 1 1 0
77 0 0 0
78 1 0 0
79 1 0 1
80 0 1 1
81 0 0 1
82 1 1 0
83 0 0 1
84 0 1 1
85 1 0 0
86 1 0 1
87 0 1 0
88 0 0 1
89 0 1 0
90 1 0 1
91 0 1 0
92 0 1 0
93 1 1 1
94 1 0 0
95 1 0 1
96 0 0 1
97 0 1 0
98 1 1 1
99 1 0 1
100 0 1 1
101 1 0 1
102 1 1 1
103 1 0 1
104 1 0 1
105 0 1 1
106 1 0 0
107 1 1 0
108 1 0 0
109 1 1 1
110 1 1 0
111 0 1 0
112 0 0 1
113 1 0 1
114 0 0 0
115 0 0 1
116 1 0 1
117 0 0 1
118 1 1 1
119 1 1 1
120 0 1 1
121 0 1 1
122 0 0 0
123 0 0 1
124 1 1 0
125 0 0 1
